COMMANDO;;;;;;;;;r;;;;
CONTENT MANAGEMENT SYSTEM;;;Jenis Konten;Kategori dalam Agset BUMN;Jenis Media Plan;Aktualisasi;Media;Jenis Konten;;;Creator;Review;Process
29;24 Februari 2025;Peluncuran Danantara;Konten Lainnya;;;Realisasi;Facebook;Infografis;"Dewan Komisaris, Direksi, dan Insan ASABRI mengucapkan

Selamat Atas Peluncuran
Daya Anagata Nusantara (DANANTARA)

oleh Presiden Republik Indonesia
Prabowo Subianto
24 Februari 2025

Kita semua memiliki peran dalam perjalanan ini. Danantara bukan hanya sekadar entitas bisnis, melainkan pilar utama bagi kemandirian ekonomi Indonesia.

ASABRI bukan hanya sekadar pengelola asuransi sosial, melainkan penjaga kesejahteraan mereka yang telah berjuang untuk negeri ini. Bersama, kita melangkah menuju Indonesia Emas 2045, mewujudkan mimpi menjadi bangsa yang mandiri, berdaulat, dan disegani dunia.

#DanantaraIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/1PBr47KsW9/;;Approve Sesper;
30;25 Februari 2025;Rapat Koordinasi Teknis (Rakornis) Tahun 2025 ;Campaign ASABRI;;;Realisasi;Facebook;Infografis;"Halo #SobatASABRI

Dengan semangat pelayanan terbaik, PT ASABRI (Persero) kembali menggelar Rapat Koordinasi Teknis (Rakornis) Tahun 2025 dengan tema “ASABRI Peduli, Peserta Sejahtera”, sebuah forum strategis yang mempertemukan Board of Commissioner (BOC), Board of Director (BOD), serta seluruh jajaran pimpinan unit kerja Kantor Pusat maupun Kantor Cabang bertempat di Aula Sebaguna Lantai 7 Gedung ASABRI Kantor Pusat.

Untuk informasi selengkapnya, silakan #SobatASABRI cek postingan berikut ya.

#RakornisTahun2025
#ASABRIPeduliPesertaSejahtera
#LayananASABRIuntukIndonesia
#ManfaatProgramASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/1BRNEuNmng/;;Approve Sesper;
31;26 Februari 2025;Manfaat Program THT;Sekilas;;;Realisasi;Facebook;Video;"Halo #SobatASABRI

Kali ini #SEKILAS informasi kembali hadir loh??
#SegmenEdukasidanKolaborasiInfluencerASABRI
Apakah #SobatASABRI tahu apa itu Manfaat Program THT? Yuk simak segmen #SEKILAS berikut ini!

Untuk informasi lebih lanjut, #SobatASABRI dapat mengunjungi Website ASABRI www.asabri.co.id, Kanal Sosial Media ASABRI, Akun resmi contact center ASABRI, dan Kantor Cabang sesuai wilayah masing-masing ya Sobat..

#LayananASABRIuntukIndonesia
#ManfaatProgramASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/v/1HGzsxHgFh/;;Approve Sesper;
32;28 Februari 2025;Kegiatan LKPP;Campaign ASABRI;;;Realisasi;Facebook;Infografis;"Halo #SobatASABRI

Layanan Kunjungan Penerima Pensiun (LKPP) adalah jembatan yang menghubungkan ASABRI dengan Peserta secara lebih personal dan proaktif. Selajan dengan semangat memberikan layanan yang lebih dekat kepada Peserta, salah satu Kantor Cabang ASABRI yaitu Kantor Cabang ASABRI Ternate melaksanakan kegiatan LKPP untuk memperkuat keterikatan dengan Peserta di wilayah Ternate, Maluku Utara. 

Untuk informasi selengkapnya, silakan #Sobat ASABRI cek postingan berikut ya.

#LayananKancabASABRI
#LayananASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/1CdjTRzbJ1/;;Approve Sesper;
33;28 Februari 2025;"Selamat Menunaikan Ibadah Puasa 1446 H
";Hari Besar Nasional;;;Realisasi;Facebook;Video;"Halo #SobatASABRI

Selamat Menunaikan Ibadah Puasa 1446 H

Marhaban ya Ramadan! Bulan suci penuh berkah telah tiba, saatnya kita memperbanyak ibadah, menebar kebaikan, dan mendekatkan diri kepada Allah SWT.

Seluruh keluarga besar PT ASABRI (Persero), mengucapkan Selamat Menunaikan Ibadah Puasa 1446 H. Semoga puasa ini membawa berkah, menguatkan hati, dan menyinari langkah kita dalam menjalani kehidupan yang lebih baik.

Mari jadikan Ramadan ini sebagai momen untuk memperbaiki diri dan mempererat silaturahmi. Semoga segala amal ibadah kita diterima dan membawa keberkahan.

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa

#ASABRIRamadan1446H
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/v/17cbgQPrVu/;;Approve Sesper;
34;03 Maret 2025;"Selamat dan Semangat Hari Senin!
";Senin Semangat;;;Realisasi;Facebook;Video;"Halo #SobatASABRI

Selamat dan Semangat Hari Senin!

Senin di awal Ramadan adalah langkah pertama menuju berkah yang lebih besar. Mari sambut hari ini dengan semangat, niat yang tulus, dan hati yang penuh Harapan. 

Selamat Menunaikan Ibadah Puasa Ramadan 1446 H. Semoga puasa ini membawa berkah, menguatkan hati, dan menyinari langkah.

ASABRI Sahabat Perjuangan Anda Sepanjang Masa.

#SemangatSenin
#ASABRIRamadan1446H
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/v/1Fn1v6GnvT/;;Approve Sesper;
35;03 Maret 2025;Pendaftaran Mudik Aman Sampai Tujuan;Campaign Bersama BUMN;;;Realisasi;Facebook;Infografis;"Halo #SobatASABRI

Ubur-ubur ikan lele
Mudik Gratis BUMN, datang lagi lee??

Pendaftaran Mudik Gratis BUMN, Mudik Aman Sampai Tujuan bersama ASABRI resmi dibuka mulai hari ini, 3 Maret 2025 sampai dengan kuota terpenuhi.

Ayo Segera Daftar!
Terbuka bagi seluruh Peserta ASABRI, Insan ASABRI dan Masyarakat Umum.

Buat kamu yang ingin pulang kampung tanpa ribet dan gratis, yuk daftar Mudik Gratis BUMN bersama ASABRI sekarang juga! ???

Kuota terbatas, jangan sampai kehabisan! Ajak keluarga & teman-temanmu, biar perjalanan mudik makin seru

Untuk informasi selengkapnya, silakan #Sobat cek postingan berikut ya.

Untuk pertanyaan lebih lanjut dapat menghubungi kontak Admin TJSL - 0877-7241-6602

#MudikGratisBUMN
#MudikAmanSampaiTujuanBUMN2025
#MudikBersamaASABRI2025
#ASABRIIdulFitri1446H
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/16uqaLJDp5/;;Approve Sesper;
36;05 Maret 2025;Penutupan Mudik Aman Sampai Tujuan;Campaign Bersama BUMN;;;Realisasi;Facebook;Infografis;"Halo #SobatASABRI

Terima kasih atas antusiasme dan partisipasi Sobat dalam Mudik Gratis BUMN ?

Pendaftaran Mudik Gratis BUMN telah memenuhi kuota dan saat ini telah ditutup ya Sobat.

ASABRI,
Sahabat Perjuangan Anda Sepanjang Masa

#MudikGratisBUMN
#MudikAmanSampaiTujuanBUMN2025
#MudikBersamaASABRI2025
#ASABRIIdulFitri1446H
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/14MD8gkeBN7/;;Approve Sesper;
37;06 Maret 2025;Waspada Penipuan Mengatasnamakan ASABRI;Campaign ASABRI;;;Realisasi;Facebook;Infografis;"Halo #SobatASABRI

Seiring dengan meningkatnya modus penipuan digital, seringkali banyak oknum tidak bertanggung jawab yang mengatasnamakan ASABRI untuk mencuri data pribadi dan berakibat dapat merugikan peserta.

Waspada Penipuan yang Mengatasnamakan PT ASABRI (Persero) ya #Sobat

Informasi resmi tentang ASABRI hanya disampaikan melalui contact center, akun sosial media resmi, dan Kantor Cabang ASABRI.

Untuk informasi selengkapnya, silakan #Sobat cek postingan berikut ya.

#Waspadapenipuan
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/1Ey4uxvYNa/;;Approve Sesper;
38;07 Maret 2025;ASABRI Dukung Program Hunian yang Nyaman untuk Rakyat;Campaign ASABRI;;;Realisasi;Facebook;Infografis;"Halo #SobatASABRI

Sebagai salah satu wujud meningkatkan kesejahteraan peserta, ASABRI turut serta mendukung program pemerintah dalam program pembangunan perumahan bersubsidi yang diperuntukkan bagi Anggota Kepolisian Negara Republik Indonesia (Polri) dan Aparatur Sipil Negara (ASN) di lingkungan Polri.

Untuk informasi selengkapnya, silakan #Sobat cek postingan berikut ya.

#ManfaatProgramASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/16KA51g7SF/;;Approve Sesper;
39;10 Maret 2025;Semangat Hari Senin;Senin Semangat;;;Realisasi;Facebook;Video;"Halo #SobatASABRI

Selamat dan Semangat Hari Senin

Bangsa yang besar adalah bangsa yang warganya memiliki jiwa pengabdian dan keikhlasan untuk membangun bersama.

Mari melangkah tanpa ragu dan terus melayani Bangsa untuk Indonesia Emas 2045!

ASABRI Sahabat Perjuangan Anda Sepanjang Masa.

#SemangatSenin
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/r/1HQbV4Z61Y/;;Approve Sesper;
40;10 Maret 2025;Autentikasi di ASABRI STAR;Campaign ASABRI;;;Realisasi;Instagram;Infografis;"Halo #SobatASABRI

Jalani Puasa Dari Sahur Menuju Iftar
Ayo Sobat ASABRI Jangan Lupa Autentikasi Dengan ASABRI STAR

Untuk keamanan Gaji Pensiun, pastikan Sobat ASABRI telah melakukan Autentikasi digital di ASABRI STAR mulai tanggal 1 sampai dengan tanggal 10 setiap bulannya agar Gaji Pensiun dapat masuk ke rekening.

Apabila terdapat kendala atau membutuhkan informasi lebih lanjut, silakan Sobat ASABRI dapat mengunjungi Kantor Cabang ASABRI, Mitra Bayar ASABRI atau menghubungi Call Center 1500043 dan media sosial ASABRI.

#DenganASABRISTARGajiPensiunAman
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/1EqDF7bAKs/;;Approve Sesper;
41;11 Maret 2025;ASABRI untuk Indonesia Bergerak, Bermakna, Berdampak, Memberikan Manfaat Tambahan untuk Peserta ;TJSL;;;Realisasi;Facebook;Infografis;"Halo #SobatASABRI

Pada tahun 2024, pelaksanaan Program TJSL ASABRI tidak hanya menjawab kebutuhan tetapi juga menjadi bagian investasi untuk masa depan yang lebih cerah dan memberikan kontribusi nyata pada Sustainable Development Goals (SDGs).

Untuk informasi selengkapnya, silakan #Sobat cek postingan berikut ya.

#ProgramTJSLASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/17VTkgTyMd/;;Approve Sesper;
42;14 Maret 2025;Pengumuman Tentang Pembayaran Tunjangan Hari Raya;Konten Lainnya;;;Realisasi;Facebook;Infografis;"Kabar Gembira untuk #SobatASABRI Semua

Pembayaran Tunjangan Hari Raya (THR) akan dilaksanakan mulai tanggal 17 Maret 2025. Semoga memberikan kebahagiaan bagi Peserta ASABRI dan Keluarga yang menerima.

Untuk megetahui ketentuan mengenai Pembayaran THR 2025, silakan sobat cek informasi pada postingan berikut ini.

Hati-hati dan tetap waspada terkait segala bentuk penipuan yang mengatasnamakan PT ASABRI (Persero). Jika menerima informasi yang meragukan dan mencurigakan, jangan ragu untuk hubungi contact center PT ASABRI (Persero).

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa

#THRuntukSobatASABRI2025
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/1CeCngpMYW/;;Approve Sesper;
43;17 Maret 2025;Semangat Hari Senin;Senin Semangat;;;Realisasi;Facebook;Video;"Halo #SobatASABRI

Selamat dan Semangat Hari Senin

Dengan Semangat Pengabdian, dan Penuh Dedikasi,
Insan ASABRI, Hadir Untuk Indonesia!

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa.

#SemangatSenin
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/v/1844eGsJaJ/;;Approve Sesper;
44;18 Maret 2025;THR untuk Ramadan dan Lebaran yang tenang dan menyenangkan;Campaign ASABRI;;;Realisasi;Facebook;Infografis;"Halo #SobatASABRI

Pembayaran Tunjangan Hari Raya (THR) merupakan bagian dari upaya ASABRI dalam menciptakan Ramadan yang tenang dan menyenangkan bagi para penerima manfaat, sehingga Peserta ASABRI dapat merayakan Idulfitri dengan penuh kebahagiaan.

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa

Untuk informasi selengkapnya, silahkan #Sobat cek postingan berikut ya.

#THRuntukSobatASABRI2025
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/1KQ4WCsDRV/;;Approve Sesper;
45;19 Maret 2025;ASABRI Menjaga & Melindungi Pejuang Negeri;Campaign ASABRI;;;Realisasi;Facebook;Infografis;"Halo #SobatASABRI

PT ASABRI (Persero) hadir dengan komitmen untuk memberikan perlindungan terbaik bagi para pejuang bangsa yaitu Prajurit TNI, Anggota Polri, ASN Kemhan, dan ASN Polri, salah satunya melalui Layanan Perawatan dan Pengobatan Jaminan Kecelakaan Kerja Bagi Peserta ASABRI Aktif.

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa

Untuk informasi selengkapnya,
silahkan #Sobat cek postingan berikut ya.

#JaminanKecelakaanKerja
#LayananPerawatandanPengobatan
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/17LXEbMz1v/;;Approve Sesper;
46;19 Maret 2025;ASABRI Berbagi: Cahaya Kebaikan di Bulan Ramadan;Campaign ASABRI;;;Realisasi;Facebook;Video;"Halo #SobatASABRI ???

Di bulan suci penuh rahmat ini, ASABRI kembali menebarkan kebaikan dengan memberikan santunan zakat kepada 60 anak penerima manfaat. Momen istimewa ini bertepatan dengan peringatan Nuzulul Qur'an yang mengingatkan kita akan pentingnya syukur, sabar, dan sedekah dalam kehidupan.

Direksi ASABRI berpesan, sebagai insan yang unggul, berintegritas, dan berdedikasi, mari kita menjadikan Al-Qur’an sebagai pedoman dalam setiap langkah kita. ???

Semoga keberkahan Ramadan ini semakin memperkuat rasa kepedulian dan semangat berbagi kita semua! ??

ASABRI, Sahabat Perjuangan Anda Sepanjang Masa.

#AksiASABRIdiBulanRamadan
#InsanASABRIBerbagidiBulanRamadan
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.facebook.com/share/r/1DPpw45hT8/;;Approve Sesper;
47;20 Maret 2025;Berseri: Pengajuan Klaim Melalui ASABRI Link;Berseri;;;Realisasi;Facebook;Infografis;"Halo #SobatASABRI

Sekarang memasuki waktunya BERSERI nih... #BertanyaSeputarASABRI ??

Tahukah kamu Klaim apa saja yang Sobat dapat ajukan melalui ASABRI link?

Yuk simak dan ketahui informasi yang tersedia sesuai infografis berikut ya…

Untuk informasi lebih lanjut, Sobat dapat mengunjungi Website ASABRI www.asabri.co.id atau mengunjungi Kantor Cabang dan ASABRI Link sesuai wilayah masing-masing ya Sobat…

#BertanyaSeputarASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia";https://www.facebook.com/share/r/17X8VnCByo/;;Approve Sesper;
48;22 Maret 2025;Ucapan Ulang Tahun Direktur Utama PT ASABRI (Persero);Hari Penting;;;Realisasi;Facebook;Infografis;"Dewan Komisaris, Direksi dan Karyawan PT ASABRI (Persero) mengucapkan Selamat Ulang Tahun kepada Direktur Utama PT ASABRI (Persero) Jeffry Haryadi P. Manullang.

Semoga senantiasa diberikan kesehatan, kesuksesan, dan kebahagiaan.

#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/16JQrxAQwg/;;Approve Sesper;
49;22 Maret 2025;Sekilas: THR Lancar Ramadan & Lebaran Tenang & Menyenangkan;Berseri;;;Realisasi;Facebook;Video;"Halo #SobatASABRI

? THR Lancar, Ramadan & Lebaran Tenang & Menyenangkan! ?
?? Mulai 17 Maret 2025, ASABRI menyalurkan pembayaran THR kepada Peserta Pensiun, Penerima Pensiun, dan Penerima Tunjangan.

Tahukah sobat, bahwa Pembayaran THR ini sangat bermanfaat dan penting untuk dijaga kelancarannya.
Karena ini bukan sekadar pembayaran. Ini Amanah!
Karena ini bukan sekadar layanan. Ini Penghormatan!

Untuk informasi lebih lanjut mari simak video berikut dan #SobatASABRI juga dapat mengunjungi Website ASABRI www.asabri.co.id, Kanal Media Sosial ASABRI, Akun resmi Contact Center ASABRI, dan Kantor Cabang sesuai wilayah masing-masing ya Sobat..

#THRPesertaASABRI
#RamadanTenangMenyenangkan
#LebaranTenangMenyenangkan
#ManfaatProgramASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/v/1Fmpt6QeKj/;;Approve Sesper;
50;24 Maret 2025;Semangat Hari Senin;Senin Semangat;;;Realisasi;Facebook;Video;"Halo #SobatASABRI

Selamat dan Semangat Hari Senin

Berbagi bukan tentang seberapa banyak yang kita berikan,
tapi seberapa tulus kita memberi.

Yuk mari berbagi bersama kebaikan di bulan suci Ramadan ini.

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa.

#SemangatSenin
#SemangatMelayanidariASABRIuntukIndonesia
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/r/17Paoj6kMg/;;Approve Sesper;
51;24 Maret 2025;Ucapan Ulang Tahun;Hari Penting;;;Realisasi;Facebook;Infografis;"Dewan Komisaris, Direksi dan Karyawan PT ASABRI (Persero) mengucapkan Selamat Ulang Tahun kepada Komisaris Independen PT ASABRI (Persero) Komjen Pol. (Purn) Arief Sulistyanto.

Semoga senantiasa diberikan kesehatan, kesuksesan, dan kebahagiaan.

#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/1CJyH7NDVK/;;Approve Sesper;
52;26 Maret 2025;ASABRI Tolak Gratifikasi;Campaign ASABRI;;;Realisasi;Facebook;Infografis;"Halo #SobatASABRI

ASABRI senantiasa berkomitmen untuk menolak segala bentuk Gratifikasi.

Terima kasih untuk tidak memberi dan menerima Gratifikasi.

Jika menjumpai tindak gratifikasi jangan ragu untuk melaporkan melalui pengaduan@asabri.co.id

Bersama kita ciptakan lingkungan kerja yang bersih, transparan, dan beretika.

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa

#AntiGratifikasi
#ASABRITolakGratifikasi
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/1EkYJu387C/;;Approve Sesper;
53;26 Maret 2025;Segera Lakukan Pemadanan NIK dan NPWP melalui CORETAX;Campaign Bersama BUMN;;;Realisasi;Facebook;Infografis;"Halo #SobatASABRI

Pemerintah telah menerbitkan PMK 136/2023 tentang perubahan atas PMK 112/2023 terkait implementasi pemadanan NIK-NPWP. Bagi yang belum melakukan pemadanan NIK sebagai NPWP, #SobatASABRI dapat melakukan pemadanan melalui Aplikasi Coretax.

Simak ketentuan terbaru Pemadanan NIK-NPWP sesuai infografis berikut ya #Sobat

#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/16irDCKtCL/;;Approve Sesper;
54;27 Maret 2025;Akun Resmi Contact Center;Campaign ASABRI;;;Realisasi;Facebook;Infografis;"Halo #SobatASABRI

Ada yang masih bingung kemana harus menghubungi ASABRI untuk mengurus keperluan ASABRI ?

#Sobat dapat menghubungi Akun Resmi Contact Center ASABRI seperti tertera pada infografis berikut ya #Sobat

Untuk informasi selengkapnya, silakan #SobatASABRI cek postingan berikut ya

#LayananASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/1WActuWRLv/;;Approve Sesper;
55;27 Maret 2025;Mudik Aman Sampai Tujuan Lebaran Tenang & Menyenangkan;Campaign ASABRI;;;Realisasi;Facebook;Infografis;"Halo #SobatASABRI

Jalan-Jalan Naik Delman
Sambil Liat Indahnya Pemandangan
Selamat Mudik ke Kampung Halaman
Lebaran Bersama Keluarga Tenang & Menyenangkan

Mudik Aman Sampai Tujuan
Lebaran Tenang dan Menyenangkan

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa

#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/14PkR81Nv95/;;Approve Sesper;
56;27 Maret 2025;MUDIK AMAN SAMPAI TUJUAN BERSAMA ASABRI! ;Campaign ASABRI;;;Realisasi;Facebook;Video;"??? MUDIK AMAN SAMPAI TUJUAN BERSAMA ASABRI! ???

Halo #SobatASABRI dan #InsanBUMN!

PT ASABRI (Persero) kembali berpartisipasi dalam Program Mudik Gratis Bersama BUMN dengan mengusung tema ""Mudik Aman Sampai Tujuan"".

Sebagai bagian dari BUMN, ASABRI berkomitmen untuk mendukung tradisi mudik dengan memberikan perjalanan yang aman dan nyaman bagi masyarakat serta Peserta ASABRI.

Selamat mudik Sobat! 
Semoga perjalanan lancar dan penuh kebahagiaan hingga tiba di kampung halaman ????

#MudikAmanSampaiTujuan 
#TJSLASABRI 
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/v/1Bo7hMSjGB/;;Approve Sesper;
57;27 Maret 2025;Pemberitahuan Layanan dan Operasional;Konten Lainnya;;;Realisasi;Facebook;Infografis;"Halo #SobatASABRI

Sehubungan dengan Hari Libur Nasional dan Cuti Bersama Hari Raya Nyepi dan Tahun Baru Saka 1947 serta Idul Fitri 1446 H, Layanan dan Operasional Kantor ASABRI TUTUP pada tanggal 28 Maret 2025 s.d. 7 April 2025.

Layanan dan Operasional Buka Kembali pada tanggal 8 April 2025.

#LayananASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/19RugybYBK/;;Approve Sesper;
58;28 Maret 2025;Informasi Layanan Mitra Kerja Pembayaran  ASABRI (Bank dan Pos) ;Konten Lainnya;;;Realisasi;Facebook;Infografis;"Halo #SobatASABRI 

Untuk mendukung kelancaran pembayaran hak peserta ASABRI, terdapat layanan Mitra Kerja Pembayaran  ASABRI (Bank dan Pos) yang tetap melayani pada masa libur nasional dan cuti Bersama Hari Raya Nyepi dan Idul Fitri 1446 Hijriah.

Untuk mengetahui informasi selengkapnya terkait dengan layanan Mitra Kerja Pembayaran ASABRI, Sobat dapat mengunjungi Website ASABRI melalui link atau scan barcode yang tertera pada infografis diatas ya #Sobat

ASABRI, 
Sahabat Perjuangan Anda Sepanjang Masa

#LayananASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIUntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/1AbRCrWcNz/;;Approve Sesper;
59;29 Maret 2025;Memperingati Hari Raya Nyepi;Hari Besar Nasional;;;Realisasi;Facebook;Infografis;"Halo #SobatASABRI

Dalam keheningan, kita menemukan kedamaian. 
Dalam kesunyian, kita merenung dan memperbarui diri.

Dewan Komisaris, Direksi, dan seluruh Insan ASABRI mengucapkan
Selamat Hari Raya Nyepi dan Tahun Baru Saka 1947.

Semoga momen suci ini 
membawa ketenangan, kebijaksanaan, dan harmoni bagi kita semua. 

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa

#HariNyepi
#TahunBaruSaka1947
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesi";https://www.facebook.com/share/p/17ZtC6Roro/;;Approve Sesper;
60;30 Maret 2025;Memperingati Hari Raya Idulfitri 1 Syawal 1446 ;Hari Besar Nasional;;;Realisasi;Facebook;Video;"Halo #SobatASABRI

Dewan Komisaris, Direksi, dan seluruh Insan ASABRI mengucapkan

Selamat Hari Raya Idulfitri 1 Syawal 1446 Hijriah Minal 'Aidin wal-Faizin, Mohon Maaf Lahir dan Batin.

Tak ada yang lebih indah dari saling memaafkan. 
Semoga Hari Raya Idulfitri ini membawa kedamaian dan kebahagiaan untuk kita 
semua.

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa

#Lebaran1446H
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/v/17ZgYfB1zp/;;Approve Sesper;
61;30 Maret 2025;Ucapan Memperingati Hari Raya Idulfitri 1 Syawal 1446;Hari Besar Nasional;;;Realisasi;Facebook;Video;"Halo #SobatASABRI

Idul Fitri bukan hanya tentang kemenangan, tetapi juga tentang kebersamaan dan 
saling memaafkan.

Mari rayakan momen hangat Hari Raya Idulfitri bersama keluarga dan orang terkasih.

Selamat Hari Raya Idulfitri 1 Syawal 1446 Hijriah
Minal 'Aidin wal-Faizin, Mohon Maaf Lahir dan Batin.

#Lebaran1446H
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/v/17XULSnmWc/;;Approve Sesper;
62;08 April 2025;Pemberitahuan Layanan Operasi Kantor Cabang;Konten Lainnya;;;Realisasi;Facebook;Infografis;"Halo #SobatASABRI

Lampu dinyalakan saat senja,
Terang menerangi ruang kerja.
Setelah Lebaran mari berkarya,
Untuk bangsa, untuk Indonesia.

ASABRI
Sahabat Perjuangan Anda Sepanjang Masa

#LayananCabangASABRI
#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/178uZ55sM9/;;Approve Sesper;
63;09 April 2025;Dirgahayu TNI ANGKATAN UDARA KE-79;Konten Lainnya;;;Realisasi;Facebook;Infografis;"Dengan Semangat Swa Bhuana Paksa, TNI Angkatan Udara Siap Menjaga Kedaulatan Nasional Untuk Mewujudkan Indonesia Maju
DIRGAHAYU TNI ANGKATAN UDARA KE-79

ASABRI Sahabat Perjuangan Anda Sepanjang Masa

#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/1AAWfGSjTh/;;Approve Sesper;
64;10 April 2025;Halalbihalal ;Konten Lainnya;;;Realisasi;Facebook;Infografis;"Halo #SobatASABRI

Halalbihalal merupakan momentum untuk menyatukan hati dan memperkuat silaturahim demi terciptanya kolaborasi dan berkontribusi bagi negeri.

Satukan tekad dan langkah dalam harmoni bersama ASABRI sebagai Sahabat Perjuangan Anda Sepanjang Masa.

#SahabatPerjuanganAndaSepanjangMasa
#ASABRIuntukIndonesia
#BUMNuntukIndonesia";https://www.facebook.com/share/p/1CNVLDoXLk/;;Approve Sesper;
